batch_index,Div,league_name,match_date_iso,Time,HomeTeam,AwayTeam,source_row_index,source_url,match_key_sha256
45,E0,England Premier League,2024-08-24,15:00,Crystal Palace,West Ham,11,https://www.football-data.co.uk/mmz4281/2425/E0.csv,0b46bfe6b8a79cdd544ed4f2e28211406ad7ad722c5b5d1a51733e49028276c6
46,E0,England Premier League,2024-08-24,15:00,Fulham,Leicester,12,https://www.football-data.co.uk/mmz4281/2425/E0.csv,902740b534f6819a24763c92201e3cddfd31e2f1712eb9075b1d13c67e78e473
47,E0,England Premier League,2024-08-24,15:00,Man City,Ipswich,13,https://www.football-data.co.uk/mmz4281/2425/E0.csv,0384660fd2c3325598feeb48b6e97a695482cc247b78e668f0e0cfbafb8b4f33
48,E0,England Premier League,2024-08-24,15:00,Southampton,Nott'm Forest,14,https://www.football-data.co.uk/mmz4281/2425/E0.csv,47fd399e88e772f77ae8cf4ae87af8d9e754774bc0eb472795e9e73134cf7a7a
49,E0,England Premier League,2024-08-24,15:00,Tottenham,Everton,15,https://www.football-data.co.uk/mmz4281/2425/E0.csv,7b33bc446d89ac50c2e73473633339c93c0a4a47d65370447acaa2237ee00bc0
50,E0,England Premier League,2024-08-24,17:30,Aston Villa,Arsenal,16,https://www.football-data.co.uk/mmz4281/2425/E0.csv,b80f1c60c01533658bd81072ebb631bfcae63f73965571ccfb47ae1a55192e15
51,SP1,Spain La Liga,2024-08-24,16:00,Osasuna,Mallorca,12,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,3f2da83f3aea2134ec3de1141f4d9a084d7d28d1ed80dbadca8fb0a0c878fd62
52,SP1,Spain La Liga,2024-08-24,18:00,Barcelona,Ath Bilbao,13,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,3d38cdd2bd19cae3289465d0401604d385fde2c36375eb5dbd80f7a2243c0ea6
53,SP1,Spain La Liga,2024-08-24,20:30,Espanol,Sociedad,14,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,aa4e5ec4d76a2c1f2128def3e1c929527a9a34608f814fe1ac729b0c8aa49865
54,SP1,Spain La Liga,2024-08-24,20:30,Getafe,Vallecano,15,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,ba4002ba4436903376ab0589fb43c6329e72621e36a43a5378879c428c4adc54
55,I1,Italy Serie A,2024-08-24,17:30,Parma,Milan,10,https://www.football-data.co.uk/mmz4281/2425/I1.csv,a20c689d9159f6cbc14f262ea5661da20480b6dc9d659a50ce7b3312fbc3697b
56,I1,Italy Serie A,2024-08-24,17:30,Udinese,Lazio,11,https://www.football-data.co.uk/mmz4281/2425/I1.csv,e7c03ac09f6343e62cb67540ddc0d619b96d116433fb5d100d96dd36e26a9683
57,I1,Italy Serie A,2024-08-24,19:45,Inter,Lecce,12,https://www.football-data.co.uk/mmz4281/2425/I1.csv,418039ba9094b4871a4060f8308eedd21da42ace64a3bc7f75a02a64aff3e775
