match_id,league,home_team,away_team,match_datetime
5750357,England: League Two,Yeovil,Carlisle,2016-03-25 16:00:00
5750358,England: League Two,York,Crawley Town,2016-03-25 16:00:00
5750352,England: League Two,Morecambe,Plymouth,2016-03-25 16:30:00
5750392,England: League One,Swindon,Wigan,2016-03-25 18:30:00
5750421,England: League One,Peterborough,Coventry,2016-03-25 20:45:00
5908245,England: League One,Burton,Oldham,2016-03-26 13:30:00
5908467,England: League One,Bradford,Millwall,2016-03-26 16:00:00
5908468,England: League One,Chesterfield,Fleetwood Town,2016-03-26 16:00:00
6247747,England: League One,Wigan,Rochdale,2016-03-28 14:30:00
6247833,England: League One,Bury,Gillingham FC,2016-03-28 16:00:00
6247834,England: League One,Crewe,Bradford,2016-03-28 16:00:00
6247835,England: League One,Doncaster,Blackpool,2016-03-28 16:00:00
6247836,England: League One,Oldham,Chesterfield,2016-03-28 16:00:00
6247837,England: League One,Port Vale,Barnsley,2016-03-28 16:00:00
6247838,England: League One,Scunthorpe,Swindon,2016-03-28 16:00:00
6247839,England: League Two,Barnet,Luton,2016-03-28 16:00:00
6247840,England: League Two,Cambridge Utd,Oxford Utd,2016-03-28 16:00:00
6247841,England: League Two,Carlisle,Bristol Rovers,2016-03-28 16:00:00
6247842,England: League Two,Crawley Town,Exeter,2016-03-28 16:00:00
6247843,England: League Two,Leyton Orient,Hartlepool,2016-03-28 16:00:00
6247844,England: League Two,Mansfield,Northampton,2016-03-28 16:00:00
6247845,England: League Two,Newport,Accrington,2016-03-28 16:00:00
6247847,England: League Two,Notts County,Wycombe,2016-03-28 16:00:00
6247848,England: League Two,Plymouth,York,2016-03-28 16:00:00
6247960,England: League One,Millwall,Burton,2016-03-28 20:45:00
6405424,England: League One,Coventry,Colchester,2016-03-29 20:45:00
6554486,England: League One,Southend,Sheffield Utd,2016-03-30 20:45:00
6839105,England: Championship,QPR,Middlesbrough,2016-04-01 20:45:00
6992533,England: Championship,Blackburn,Preston,2016-04-02 13:30:00
6992534,England: Championship,Brighton,Burnley,2016-04-02 13:30:00
6992577,England: Premier League,Aston Villa,Chelsea,2016-04-02 13:45:00
6992859,England: Premier League,Arsenal,Watford,2016-04-02 16:00:00
6992860,England: Premier League,Bournemouth,Manchester City,2016-04-02 16:00:00
6992862,England: Premier League,Norwich,Newcastle Utd,2016-04-02 16:00:00
6992863,England: Premier League,Stoke City,Swansea,2016-04-02 16:00:00
6992864,England: Premier League,Sunderland,West Brom,2016-04-02 16:00:00
6992865,England: Premier League,West Ham,Crystal Palace,2016-04-02 16:00:00
6992866,England: Championship,Bolton,Reading,2016-04-02 16:00:00
