match_id,league,home_team,away_team,match_datetime
8058889,England: Championship,QPR,Charlton,2016-04-09 16:00:00
8058890,England: Championship,Reading,Birmingham,2016-04-09 16:00:00
8058891,England: Championship,Wolves,Blackburn,2016-04-09 16:00:00
8058892,England: League One,Barnsley,Chesterfield,2016-04-09 16:00:00
8058893,England: League One,Blackpool,Colchester,2016-04-09 16:00:00
8058894,England: League One,Bradford,Swindon,2016-04-09 16:00:00
8058895,England: League One,Bury,Doncaster,2016-04-09 16:00:00
8058896,England: League One,Millwall,Shrewsbury,2016-04-09 16:00:00
8058897,England: League One,Oldham,Walsall,2016-04-09 16:00:00
8058898,England: League One,Peterborough,Rochdale,2016-04-09 16:00:00
8058899,England: League One,Port Vale,Crewe,2016-04-09 16:00:00
8058900,England: League One,Scunthorpe,Burton,2016-04-09 16:00:00
8058901,England: League One,Sheffield Utd,Gillingham FC,2016-04-09 16:00:00
8058902,England: League One,Southend,Fleetwood Town,2016-04-09 16:00:00
8058903,England: League One,Wigan,Coventry,2016-04-09 16:00:00
8058904,England: League Two,Barnet,Leyton Orient,2016-04-09 16:00:00
8058905,England: League Two,Carlisle,Mansfield,2016-04-09 16:00:00
8058906,England: League Two,Crawley Town,Oxford Utd,2016-04-09 16:00:00
8058907,England: League Two,Dagenham &amp; Red.,Portsmouth,2016-04-09 16:00:00
8058908,England: League Two,Luton,Accrington,2016-04-09 16:00:00
8058909,England: League Two,Morecambe,Hartlepool,2016-04-09 16:00:00
8058910,England: League Two,Newport,Cambridge Utd,2016-04-09 16:00:00
8058911,England: League Two,Northampton,Bristol Rovers,2016-04-09 16:00:00
8058912,England: League Two,Notts County,Stevenage,2016-04-09 16:00:00
8058913,England: League Two,Plymouth,AFC Wimbledon,2016-04-09 16:00:00
8058916,England: League Two,Yeovil,Exeter,2016-04-09 16:00:00
8058918,England: League Two,York,Wycombe,2016-04-09 16:00:00
8059278,England: Premier League,Manchester City,West Brom,2016-04-09 18:30:00
8220070,England: Premier League,Sunderland,Leicester,2016-04-10 14:30:00
8220461,England: Premier League,Liverpool,Stoke City,2016-04-10 17:00:00
8220462,England: Premier League,Tottenham,Manchester United,2016-04-10 17:00:00
8384157,England: Championship,Nottingham,Brighton,2016-04-11 20:45:00
2090733,England: Championship,Birmingham,Leeds,2016-04-12 20:45:00
2090739,England: Championship,Middlesbrough,Reading,2016-04-12 20:45:00
8544857,England: League One,Barnsley,Oldham,2016-04-12 20:45:00
8544858,England: League One,Gillingham FC,Walsall,2016-04-12 20:45:00
8544859,England: League Two,Luton,Dagenham &amp; Red.,2016-04-12 20:45:00
8684575,England: Premier League,Crystal Palace,Everton,2016-04-13 21:00:00
8997045,England: Championship,Brighton,Fulham,2016-04-15 20:45:00
8997046,England: Championship,Hull City,Wolves,2016-04-15 20:45:00
9149262,England: Championship,Bolton,Middlesbrough,2016-04-16 13:30:00
9149278,England: Premier League,Norwich,Sunderland,2016-04-16 13:45:00
9149287,England: League One,Chesterfield,Sheffield Utd,2016-04-16 14:00:00
9149289,England: League Two,Mansfield,Notts County,2016-04-16 14:00:00
9149576,England: Premier League,Everton,Southampton,2016-04-16 16:00:00
9149577,England: Premier League,Manchester United,Aston Villa,2016-04-16 16:00:00
9149578,England: Premier League,Newcastle Utd,Swansea,2016-04-16 16:00:00
9149579,England: Premier League,West Brom,Watford,2016-04-16 16:00:00
9149580,England: Championship,Birmingham,Burnley,2016-04-16 16:00:00
9149581,England: Championship,Blackburn,Huddersfield,2016-04-16 16:00:00
9149582,England: Championship,Brentford,Bristol City,2016-04-16 16:00:00
9149583,England: Championship,Cardiff,QPR,2016-04-16 16:00:00
9149584,England: Championship,Charlton,Derby,2016-04-16 16:00:00
9149585,England: Championship,Leeds,Reading,2016-04-16 16:00:00
9149586,England: Championship,Preston,Milton Keynes Dons,2016-04-16 16:00:00
9149588,England: Championship,Rotherham,Nottingham,2016-04-16 16:00:00
9149589,England: Championship,Sheffield Wed,Ipswich,2016-04-16 16:00:00
9149590,England: League One,Burton,Barnsley,2016-04-16 16:00:00
9149591,England: League One,Colchester,Peterborough,2016-04-16 16:00:00
9149592,England: League One,Coventry,Millwall,2016-04-16 16:00:00
9149593,England: League One,Crewe,Scunthorpe,2016-04-16 16:00:00
9149594,England: League One,Doncaster,Wigan,2016-04-16 16:00:00
9149595,England: League One,Fleetwood Town,Oldham,2016-04-16 16:00:00
9149596,England: League One,Gillingham FC,Port Vale,2016-04-16 16:00:00
9149597,England: League One,Rochdale,Blackpool,2016-04-16 16:00:00
9149598,England: League One,Shrewsbury,Bradford,2016-04-16 16:00:00
9149599,England: League One,Swindon,Bury,2016-04-16 16:00:00
9149600,England: League One,Walsall,Southend,2016-04-16 16:00:00
9149601,England: League Two,Accrington,Morecambe,2016-04-16 16:00:00
9149602,England: League Two,AFC Wimbledon,Crawley Town,2016-04-16 16:00:00
9149604,England: League Two,Bristol Rovers,Yeovil,2016-04-16 16:00:00
9149605,England: League Two,Cambridge Utd,Carlisle,2016-04-16 16:00:00
9149606,England: League Two,Exeter,Northampton,2016-04-16 16:00:00
9149607,England: League Two,Hartlepool,York,2016-04-16 16:00:00
9149608,England: League Two,Leyton Orient,Dagenham &amp; Red.,2016-04-16 16:00:00
9149609,England: League Two,Oxford Utd,Luton,2016-04-16 16:00:00
9149610,England: League Two,Portsmouth,Plymouth,2016-04-16 16:00:00
9149611,England: League Two,Stevenage,Newport,2016-04-16 16:00:00
9149612,England: League Two,Wycombe,Barnet,2016-04-16 16:00:00
9150029,England: Premier League,Chelsea,Manchester City,2016-04-16 18:30:00
9308688,England: Premier League,Bournemouth,Liverpool,2016-04-17 14:30:00
9308689,England: Premier League,Leicester,West Ham,2016-04-17 14:30:00
