match_id,date_time,outcome,baseline_pH,baseline_pD,baseline_pA,challenger_pH,challenger_pD,challenger_pA
1415380,2015-12-05T16:00:00,H,0.45138115,0.28115839,0.26746046,0.40851283,0.34942782,0.24205935
1415420,2015-12-05T17:15:00,A,0.40040017,0.30292197,0.29667786,0.49656099,0.13551046,0.36792855
1422753,2015-12-06T13:45:00,H,0.31588745,0.25749224,0.42662031,0.32459781,0.23701814,0.43838405
1422950,2015-12-06T14:30:00,D,0.49752388,0.26405178,0.23842434,0.53432016,0.20962191,0.25605792
1423077,2015-12-06T16:00:00,H,0.64750796,0.21600841,0.13648363,0.57968282,0.29812994,0.12218724
1423161,2015-12-06T19:00:00,A,0.41034331,0.30640082,0.28325587,0.39320866,0.33536335,0.27142799
1423158,2015-12-06T19:00:00,A,0.32562498,0.27814480,0.39623022,0.37092151,0.17773009,0.45134840
1423202,2015-12-07T00:30:00,D,0.58745622,0.23772926,0.17481453,0.65229928,0.15359027,0.19411045
1459622,2015-12-12T07:15:00,H,0.48514892,0.26770878,0.24714230,0.55195728,0.16686721,0.28117551
1459700,2015-12-12T13:45:00,D,0.31441701,0.28189694,0.40368606,0.38725793,0.11553415,0.49720792
1459711,2015-12-12T14:00:00,H,0.45028361,0.28368792,0.26602847,0.49687191,0.20957515,0.29355294
1459802,2015-12-12T15:00:00,A,0.48881006,0.28648127,0.22470867,0.56426702,0.17633633,0.25939664
1459885,2015-12-12T16:00:00,A,0.39510705,0.27837371,0.32651924,0.42977600,0.21505409,0.35516991
1459897,2015-12-12T16:00:00,A,0.31574145,0.27747510,0.40678345,0.30457711,0.30302295,0.39239994
1460112,2015-12-12T20:00:00,D,0.15251161,0.21899421,0.62849418,0.14227441,0.27141852,0.58630707
1460145,2015-12-12T22:05:00,H,0.43175816,0.28498947,0.28325237,0.51450281,0.14796069,0.33753650
1465743,2015-12-13T14:00:00,D,0.20453076,0.26431061,0.53115863,0.20108764,0.27669539,0.52221697
1465796,2015-12-13T14:00:00,H,0.30046739,0.26833335,0.43119927,0.32945310,0.19775038,0.47279652
1465950,2015-12-13T15:30:00,H,0.34744359,0.27997548,0.37258093,0.41226747,0.14563775,0.44209478
1466080,2015-12-13T18:15:00,H,0.60216357,0.25213669,0.14569973,0.64359552,0.20067985,0.15572462
1473037,2015-12-14T18:30:00,D,0.20551887,0.26982378,0.52465735,0.21621073,0.23183728,0.55195199
