football3_target_personnel_compact_ledger_v6	ITA_SerieA
P	FWD	Gaetano Pio Oristanio
P	FWD	Giovanni Pablo Simeone Baldini
P	FWD	Pietro Pellegri
P	FWD	Sandro Kulenović
P	FWD	Tommaso Gabellini
P	FWD	Zakaria Aboukhlal
T	official-schedule-team:db1a720b65c7eb7c7cdbfbb21fb3b43f0d750f12bb5edcd1f908f4b54110b352	Venezia	Venezia FC	https://www.veneziafc.it/news/i-convocati-per-venezia-lecce	2026-08-24T15:59:13Z	2026-08-22	DATE	MATCH_SQUAD_POINT	MATCH_ONLY
P	GK	Matteo Grandi
P	GK	Lorenzo Montipò
P	GK	Alessio Pozzi
P	GK	Filip Stanković
P	DEF	Armel Bella Kotchap
P	DEF	Thierry Rendall Correia
P	DEF	Bartol Franjić
P	DEF	Alejandro Gomes Furtado
P	DEF	Redouane Halhal
P	DEF	Ridgeciano Haps
P	DEF	Richie Sagrado
P	DEF	Joel Schingtienne
P	MID	Toma Bašić
P	MID	Gianluca Busio
P	MID	Matteo Dagasso
P	MID	Lamine Fanne
P	MID	Marko Farji
P	MID	Antoine Hainaut
P	MID	Thorir Helgason
P	MID	Kornel Lisman
P	MID	Simone Panada
P	MID	Kike Pérez
P	MID	Simon Sohm
P	FWD	Akor Adams
P	FWD	Lion Lauberbach
P	FWD	Alvin Okoro
P	FWD	Albion Rrahmani
P	FWD	John Yeboah
