match_id,league,home_team,away_team,match_datetime
3783281,England: Championship,Huddersfield,Burnley,2016-03-12 16:00:00
3783283,England: Championship,Hull City,Milton Keynes Dons,2016-03-12 16:00:00
3783285,England: Championship,Nottingham,Sheffield Wed,2016-03-12 16:00:00
3783286,England: Championship,QPR,Brentford,2016-03-12 16:00:00
3783287,England: Championship,Rotherham,Derby,2016-03-12 16:00:00
3783288,England: League One,Barnsley,Southend,2016-03-12 16:00:00
3783289,England: League One,Blackpool,Coventry,2016-03-12 16:00:00
3783290,England: League One,Bradford,Doncaster,2016-03-12 16:00:00
3783291,England: League One,Burton,Fleetwood Town,2016-03-12 16:00:00
3783292,England: League One,Chesterfield,Walsall,2016-03-12 16:00:00
3783293,England: League One,Colchester,Wigan,2016-03-12 16:00:00
3783294,England: League One,Gillingham FC,Crewe,2016-03-12 16:00:00
3783295,England: League One,Peterborough,Port Vale,2016-03-12 16:00:00
3783296,England: League One,Rochdale,Bury,2016-03-12 16:00:00
3783297,England: League One,Sheffield Utd,Oldham,2016-03-12 16:00:00
3783298,England: League One,Shrewsbury,Scunthorpe,2016-03-12 16:00:00
3783299,England: League One,Swindon,Millwall,2016-03-12 16:00:00
3783300,England: League Two,Accrington,Plymouth,2016-03-12 16:00:00
3783301,England: League Two,Bristol Rovers,Mansfield,2016-03-12 16:00:00
3783302,England: League Two,Exeter,Carlisle,2016-03-12 16:00:00
3783303,England: League Two,Hartlepool,Dagenham &amp; Red.,2016-03-12 16:00:00
3783304,England: League Two,Luton,Crawley Town,2016-03-12 16:00:00
3783305,England: League Two,Morecambe,AFC Wimbledon,2016-03-12 16:00:00
3783306,England: League Two,Northampton,Cambridge Utd,2016-03-12 16:00:00
3783307,England: League Two,Oxford Utd,Leyton Orient,2016-03-12 16:00:00
3783308,England: League Two,Portsmouth,Newport,2016-03-12 16:00:00
3783309,England: League Two,Wycombe,Stevenage,2016-03-12 16:00:00
3783310,England: League Two,Yeovil,Notts County,2016-03-12 16:00:00
3783311,England: League Two,York,Barnet,2016-03-12 16:00:00
3937150,England: Championship,Wolves,Birmingham,2016-03-13 14:15:00
3937435,England: Championship,Charlton,Middlesbrough,2016-03-13 16:30:00
3937446,England: Premier League,Aston Villa,Tottenham,2016-03-13 17:00:00
4085550,England: Premier League,Leicester,Newcastle Utd,2016-03-14 21:00:00
1581494,England: League Two,Newport,Hartlepool,2016-03-15 20:45:00
1816881,England: League One,Oldham,Blackpool,2016-03-15 20:45:00
4239117,England: Championship,Brighton,Reading,2016-03-15 20:45:00
4239118,England: Championship,Hull City,Nottingham,2016-03-15 20:45:00
4239119,England: Championship,Ipswich,Blackburn,2016-03-15 20:45:00
4239123,England: League Two,Oxford Utd,Dagenham &amp; Red.,2016-03-15 20:45:00
1459881,England: League Two,Accrington,Wycombe,2016-03-16 20:45:00
4666720,England: Championship,Middlesbrough,Hull City,2016-03-18 20:45:00
4821527,England: Championship,Derby,Nottingham,2016-03-19 13:30:00
4821528,England: League Two,Newport,Bristol Rovers,2016-03-19 13:30:00
4821539,England: Premier League,Everton,Arsenal,2016-03-19 13:45:00
4821890,England: Premier League,Chelsea,West Ham,2016-03-19 16:00:00
4821891,England: Premier League,Crystal Palace,Leicester,2016-03-19 16:00:00
4821892,England: Premier League,Watford,Stoke City,2016-03-19 16:00:00
4821893,England: Premier League,West Brom,Norwich,2016-03-19 16:00:00
4821894,England: Championship,Birmingham,Fulham,2016-03-19 16:00:00
4821895,England: Championship,Brentford,Blackburn,2016-03-19 16:00:00
4821896,England: Championship,Bristol City,Bolton,2016-03-19 16:00:00
4821897,England: Championship,Burnley,Wolves,2016-03-19 16:00:00
4821898,England: Championship,Ipswich,Rotherham,2016-03-19 16:00:00
4821899,England: Championship,Leeds,Huddersfield,2016-03-19 16:00:00
4821900,England: Championship,Milton Keynes Dons,Brighton,2016-03-19 16:00:00
4821901,England: Championship,Preston,QPR,2016-03-19 16:00:00
4821903,England: Championship,Reading,Cardiff,2016-03-19 16:00:00
4821904,England: Championship,Sheffield Wed,Charlton,2016-03-19 16:00:00
4821905,England: League One,Bury,Shrewsbury,2016-03-19 16:00:00
4821906,England: League One,Coventry,Swindon,2016-03-19 16:00:00
4821907,England: League One,Crewe,Blackpool,2016-03-19 16:00:00
4821908,England: League One,Doncaster,Peterborough,2016-03-19 16:00:00
4821909,England: League One,Fleetwood Town,Barnsley,2016-03-19 16:00:00
4821910,England: League One,Millwall,Sheffield Utd,2016-03-19 16:00:00
4821911,England: League One,Oldham,Rochdale,2016-03-19 16:00:00
