league_id,season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgCA,AvgCD,AvgCH,B365CA,B365CD,B365CH,BFECA,BFECD,BFECH,Country,League,MaxCA,MaxCD,MaxCH,PSCA,PSCD,PSCH,Season
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,28/02/2026,19:30,Servette,Sion,0,0,D,3.5,3.28,2,3.7,3.4,1.96,3.95,3.45,2.14,Switzerland,Super League,3.75,3.4,2.05,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,01/03/2026,13:00,Lausanne,Basel,1,2,A,2.6,3.56,2.36,2.65,3.7,2.32,2.84,3.9,2.48,Switzerland,Super League,2.66,3.7,2.48,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,01/03/2026,15:30,Grasshoppers,Lugano,1,0,H,2.13,3.26,3.18,2.15,3.3,3.25,2.3,3.5,3.45,Switzerland,Super League,2.2,3.4,3.3,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,01/03/2026,15:30,Young Boys,Zurich,3,0,H,4.78,4.25,1.54,5,4.33,1.53,5.7,4.9,1.6,Switzerland,Super League,5.2,4.5,1.58,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,03/03/2026,19:30,Winterthur,Servette,1,1,D,1.71,3.85,4.14,1.71,3.9,4.1,1.84,4.2,4.5,Switzerland,Super League,1.75,4,4.5,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,04/03/2026,19:30,Lugano,Sion,2,1,H,3.27,3.39,2.05,3.5,3.3,2.05,3.55,3.65,2.2,Switzerland,Super League,3.5,3.6,2.2,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,04/03/2026,19:30,Luzern,Young Boys,1,2,A,2.88,3.73,2.11,3,3.75,2.05,3.15,4,2.28,Switzerland,Super League,3.1,3.8,2.2,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,04/03/2026,19:30,Zurich,Lausanne,1,2,A,1.84,3.7,3.63,1.81,3.8,3.7,1.94,4,4.1,Switzerland,Super League,1.91,3.8,3.8,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,05/03/2026,19:30,Basel,Grasshoppers,1,0,H,4.37,3.67,1.71,4.5,3.75,1.68,4.8,4,1.83,Switzerland,Super League,4.5,3.75,1.77,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,05/03/2026,19:30,Thun,St. Gallen,2,2,D,3.46,3.83,1.86,3.6,4,1.81,3.85,4.2,1.96,Switzerland,Super League,3.75,4,1.9,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,07/03/2026,17:00,Servette,Zurich,2,1,H,5.22,4.13,1.53,5.75,4.33,1.49,6.2,4.6,1.59,Switzerland,Super League,5.8,4.33,1.6,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,07/03/2026,17:00,Sion,Winterthur,1,1,D,9.02,5.4,1.27,10,5.25,1.25,10.5,6.2,1.33,Switzerland,Super League,10.5,5.66,1.3,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,07/03/2026,19:30,Lugano,Luzern,1,3,A,3.09,3.52,2.08,3.1,3.6,2.1,3.35,3.85,2.24,Switzerland,Super League,3.55,3.65,2.15,,,,2025/2026
SUI_SuperLeague,2025/26,pre_or_post_split_unverified,SWZ,08/03/2026,13:00,St. Gallen,Basel,3,0,H,3.28,3.72,1.95,3.7,3.7,1.86,3.7,4,2.04,Switzerland,Super League,3.7,3.8,2.02,,,,2025/2026
