league_id,season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgCA,AvgCD,AvgCH,B365CA,B365CD,B365CH,BFECA,BFECD,BFECH,Country,League,MaxCA,MaxCD,MaxCH,PSCA,PSCD,PSCH,Season
SWE_Allsvenskan,2024,regular_league,SWE,22/09/2024,13:00,GAIS,Djurgarden,3,0,H,2.47,3.29,2.85,,,,2.6,3.45,3.05,Sweden,Allsvenskan,2.56,3.4,3,2.56,3.32,2.93,2024
SWE_Allsvenskan,2024,regular_league,SWE,22/09/2024,13:00,Varnamo,Vasteras SK,2,0,H,2.95,3.44,2.32,,,,3.15,3.55,2.42,Sweden,Allsvenskan,3.06,3.55,2.4,3.03,3.54,2.37,2024
SWE_Allsvenskan,2024,regular_league,SWE,22/09/2024,15:30,Malmo FF,Hacken,4,0,H,5.83,4.86,1.47,,,,6.2,5.3,1.52,Sweden,Allsvenskan,6.25,5.2,1.5,6.07,5.07,1.48,2024
SWE_Allsvenskan,2024,regular_league,SWE,23/09/2024,18:00,Goteborg,Halmstad,1,1,D,6.12,4.2,1.52,,,,6.6,4.3,1.61,Sweden,Allsvenskan,6.75,4.4,1.58,6.1,4.14,1.58,2024
SWE_Allsvenskan,2024,regular_league,SWE,25/09/2024,18:00,Djurgarden,Brommapojkarna,2,1,H,4.21,3.9,1.77,,,,4.5,4.1,1.85,Sweden,Allsvenskan,4.5,4.03,1.8,4.38,4.03,1.79,2024
SWE_Allsvenskan,2024,regular_league,SWE,25/09/2024,18:00,Mjallby,Varnamo,1,1,D,3.51,3.33,2.11,,,,3.75,3.45,2.2,Sweden,Allsvenskan,3.9,3.5,2.2,3.61,3.41,2.16,2024
SWE_Allsvenskan,2024,regular_league,SWE,25/09/2024,18:00,Sirius,AIK,0,1,A,2.78,3.23,2.56,,,,2.94,3.4,2.68,Sweden,Allsvenskan,2.89,3.3,2.66,2.89,3.29,2.61,2024
SWE_Allsvenskan,2024,regular_league,SWE,26/09/2024,18:00,Halmstad,Kalmar,2,2,D,2.47,3.14,2.99,,,,2.58,3.35,3.1,Sweden,Allsvenskan,2.61,3.25,3.17,2.52,3.22,3.08,2024
SWE_Allsvenskan,2024,regular_league,SWE,26/09/2024,18:00,Hammarby,Hacken,2,0,H,3,3.89,2.13,,,,3.2,4.2,2.2,Sweden,Allsvenskan,3.11,4.06,2.2,3.1,4.06,2.15,2024
SWE_Allsvenskan,2024,regular_league,SWE,26/09/2024,18:00,Vasteras SK,Goteborg,1,1,D,3.56,3.68,1.98,,,,3.7,3.85,2.08,Sweden,Allsvenskan,3.68,3.86,2.04,3.57,3.86,2.02,2024
SWE_Allsvenskan,2024,regular_league,SWE,29/09/2024,13:00,AIK,Hammarby,1,0,H,3.71,3.14,2.12,,,,4.1,3.2,2.2,Sweden,Allsvenskan,3.95,3.25,2.2,3.95,3.18,2.14,2024
SWE_Allsvenskan,2024,regular_league,SWE,29/09/2024,13:00,Halmstad,Norrkoping,0,0,D,2.53,3.18,2.85,,,,2.68,3.3,3,Sweden,Allsvenskan,2.63,3.27,2.93,2.63,3.21,2.93,2024
SWE_Allsvenskan,2024,regular_league,SWE,29/09/2024,13:00,Varnamo,Djurgarden,1,1,D,2.25,3.32,3.18,,,,2.36,3.45,3.4,Sweden,Allsvenskan,2.32,3.5,3.35,2.32,3.37,3.28,2024
SWE_Allsvenskan,2024,regular_league,SWE,29/09/2024,15:30,Hacken,Sirius,2,0,H,3.94,4.14,1.78,,,,4.3,4.3,1.82,Sweden,Allsvenskan,4.11,4.3,1.82,4.05,4.29,1.8,2024
SWE_Allsvenskan,2024,regular_league,SWE,29/09/2024,15:30,Kalmar,Elfsborg,1,3,A,1.84,3.72,4.03,,,,1.89,4,4.4,Sweden,Allsvenskan,1.91,3.84,4.5,1.87,3.84,4.16,2024
SWE_Allsvenskan,2024,regular_league,SWE,29/09/2024,15:30,Malmo FF,Mjallby,2,0,H,5.49,4.21,1.56,,,,6.2,4.5,1.61,Sweden,Allsvenskan,6.25,4.42,1.61,5.83,4.42,1.56,2024
SWE_Allsvenskan,2024,regular_league,SWE,30/09/2024,18:00,Brommapojkarna,Vasteras SK,2,1,H,2.87,3.82,2.24,,,,3,4,2.34,Sweden,Allsvenskan,3,4,2.31,2.95,3.93,2.27,2024
SWE_Allsvenskan,2024,regular_league,SWE,30/09/2024,18:10,Goteborg,GAIS,2,0,H,2.42,3.52,2.77,,,,2.56,3.65,2.96,Sweden,Allsvenskan,2.52,3.6,2.88,2.48,3.6,2.84,2024
SWE_Allsvenskan,2024,regular_league,SWE,03/10/2024,18:00,Norrkoping,Sirius,0,2,A,2.43,3.52,2.76,,,,2.58,3.65,2.88,Sweden,Allsvenskan,2.51,3.75,2.85,2.51,3.56,2.83,2024
SWE_Allsvenskan,2024,regular_league,SWE,05/10/2024,14:00,Hammarby,Halmstad,1,0,H,8.55,5.12,1.34,,,,9.4,5.5,1.39,Sweden,Allsvenskan,9.95,5.62,1.38,9.52,5.61,1.32,2024
SWE_Allsvenskan,2024,regular_league,SWE,05/10/2024,14:00,Mjallby,Vasteras SK,2,1,H,3.77,3.73,1.9,,,,4.1,3.9,1.96,Sweden,Allsvenskan,3.92,3.87,1.98,3.92,3.83,1.93,2024
SWE_Allsvenskan,2024,regular_league,SWE,05/10/2024,16:30,Brommapojkarna,GAIS,2,0,H,3.08,3.75,2.14,,,,3.3,3.9,2.24,Sweden,Allsvenskan,3.25,3.92,2.28,3.12,3.92,2.19,2024
SWE_Allsvenskan,2024,regular_league,SWE,06/10/2024,13:00,AIK,Hacken,0,2,A,3.73,3.55,1.96,,,,4,3.7,2.06,Sweden,Allsvenskan,3.91,3.75,2.04,3.88,3.68,1.98,2024
SWE_Allsvenskan,2024,regular_league,SWE,06/10/2024,13:00,Djurgarden,Kalmar,1,1,D,6.33,4.43,1.48,,,,7.4,4.7,1.53,Sweden,Allsvenskan,7,4.6,1.51,6.51,4.55,1.51,2024
SWE_Allsvenskan,2024,regular_league,SWE,06/10/2024,15:30,Malmo FF,Varnamo,1,1,D,7.48,4.88,1.39,,,,9.2,5.4,1.41,Sweden,Allsvenskan,8,5.1,1.42,7.64,5.02,1.41,2024
SWE_Allsvenskan,2024,regular_league,SWE,06/10/2024,15:30,Norrkoping,Goteborg,0,2,A,3.2,3.38,2.21,,,,3.4,3.5,2.32,Sweden,Allsvenskan,3.37,3.5,2.27,3.37,3.44,2.24,2024
SWE_Allsvenskan,2024,regular_league,SWE,06/10/2024,15:30,Sirius,Elfsborg,4,1,H,2.31,3.67,2.83,,,,2.4,3.85,3,Sweden,Allsvenskan,2.44,3.8,2.95,2.38,3.76,2.88,2024
SWE_Allsvenskan,2024,regular_league,SWE,19/10/2024,14:00,Elfsborg,Hacken,1,3,A,3.89,4.17,1.78,,,,4.1,4.5,1.84,Sweden,Allsvenskan,4.04,4.3,1.83,4.03,4.25,1.81,2024
