competition_id,season,source_season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,game_id,meet_name,round,venue
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-03-21,14:00,성남,포항,2,1,H,34,하나원큐 K리그1 2021,6,탄천 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-03-21,16:30,수원,서울,1,2,A,35,하나원큐 K리그1 2021,6,수원 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-03-21,19:00,대구,울산,2,1,H,36,하나원큐 K리그1 2021,6,DGB대구은행파크
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-02,19:30,포항,대구,0,0,D,37,하나원큐 K리그1 2021,7,포항 스틸야드
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-03,14:00,수원,전북,1,3,A,38,하나원큐 K리그1 2021,7,수원 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-03,16:30,성남,울산,0,1,A,39,하나원큐 K리그1 2021,7,탄천 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-03,19:00,서울,강원,0,1,A,40,하나원큐 K리그1 2021,7,서울 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-04,14:00,수원FC,제주,2,1,H,41,하나원큐 K리그1 2021,7,수원 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-04,16:30,광주,인천,2,1,H,42,하나원큐 K리그1 2021,7,광주 축구 전용경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-06,19:00,포항,전북,1,3,A,43,하나원큐 K리그1 2021,8,포항 스틸야드
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-06,19:30,대구,성남,0,0,D,44,하나원큐 K리그1 2021,8,DGB대구은행파크
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-07,19:00,울산,서울,3,2,H,45,하나원큐 K리그1 2021,8,울산 문수 축구경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-07,19:30,광주,수원FC,2,0,H,46,하나원큐 K리그1 2021,8,광주 축구 전용경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-07,19:30,인천,수원,0,0,D,47,하나원큐 K리그1 2021,8,인천 축구 전용경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-07,19:30,제주,강원,1,1,D,48,하나원큐 K리그1 2021,8,제주 월드컵 경기장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-10,14:00,강원,대구,3,0,H,49,하나원큐 K리그1 2021,9,강릉 종합 운동장
KOR_KLeague1,2021,2021,regular_rounds_1_33,kleague.com/getScheduleList.do,2021-04-10,16:30,서울,포항,1,2,A,50,하나원큐 K리그1 2021,9,서울 월드컵 경기장
